actual,proposed
-8.285571098327637,-5.059815406799316
-8.285571098327637,-5.073373794555664
-8.322120666503906,-5.073373794555664
-8.322120666503906,-5.094030857086182
-8.361977577209473,-5.1165337562561035
-8.369948387145996,-5.121031284332275
-8.518592834472656,-5.121031284332275
-8.518592834472656,-5.204718112945557
-8.5266752243042,-5.204718112945557
-8.550921440124512,-5.209258556365967
-8.550921440124512,-5.222873687744141
-8.323172569274902,-5.094625473022461
-8.346705436706543,-5.094625473022461
-8.385930061340332,-5.107914447784424
-8.385930061340332,-5.130044937133789
-8.161248207092285,-5.130044937133789
-8.161248207092285,-5.002955436706543
-8.176474571228027,-5.002955436706543
-8.184087753295898,-5.011592864990234
-8.184087753295898,-5.0159101486206055
-7.882002353668213,-5.0159101486206055
-7.882002353668213,-4.843927383422852
-7.889334678649902,-4.843927383422852
-7.911330699920654,-4.848118305206299
-7.911330699920654,-4.860684871673584
-7.94736385345459,-4.860684871673584
-7.94736385345459,-4.881255626678467
-7.519116401672363,-4.881255626678467
-7.537343978881836,-4.635524749755859
-7.537343978881836,-4.64603853225708
-7.546419143676758,-4.64603853225708
-7.546419143676758,-4.651271820068359
-7.30495548248291,-4.511629581451416
-7.270925998687744,-4.49188232421875
-7.279468059539795,-4.49188232421875
-7.279468059539795,-4.496840953826904
-7.2031025886535645,-4.496840953826904
-7.2031025886535645,-4.452475070953369
-7.2031025886535645,-4.452475070953369
-7.123223304748535,-4.4118733406066895
-7.123223304748535,-4.405979633331299
-7.0012335777282715,-4.405979633331299
-6.982618808746338,-4.3348002433776855
-6.982618808746338,-4.323920249938965
-7.010501384735107,-4.323920249938965
-7.010501384735107,-4.34021520614624
-7.078670978546143,-4.34021520614624
-7.1028642654418945,-4.380008220672607
-7.1028642654418945,-4.394114971160889
-7.094820499420166,-4.394114971160889
-7.094820499420166,-4.389425754547119
-7.070035934448242,-4.389425754547119
-7.070035934448242,-4.37497091293335
-7.070035934448242,-4.37497091293335
-7.084331512451172,-4.37497091293335
-7.084331512451172,-4.383309841156006
-7.070035934448242,-4.383309841156006
-6.843318462371826,-4.37497091293335
-6.843318462371826,-4.242351055145264
-6.8367743492126465,-4.242351055145264
-6.8367743492126465,-4.2385125160217285
-6.8367743492126465,-4.2385125160217285
-6.7373046875,-4.2385125160217285
-6.7373046875,-4.1800947189331055
-6.7548508644104,-4.1800947189331055
-6.7548508644104,-4.1904096603393555
